word	POS	IPA	Meaning	Example
disappear	v	/ˌdɪsəˈpɪr/	biến mất	My pen disappeared.
altogether	adv	/ˌɔːltəˈɡeðər/	hoàn toàn	The pain stopped altogether.
care	v	/ker/	quan tâm	She cares about her friends.
deep	adj	/diːp/	sâu	The ocean is very deep.
ocean	n	/ˈoʊʃən/	đại dương	The ocean covers most of the Earth.
record	v	/rɪˈkɔːrd/	ghi hình, thu âm	I recorded the video on my phone.
region	n	/ˈriːdʒən/	khu vực	This region has a lot of rain.
end up	phr.v	/end ʌp/	kết thúc ở	We ended up at the park.
peak	n	/piːk/	đỉnh núi	The peak of the mountain is high.
miss	v	/mɪs/	nhớ nhung, bỏ lỡ	I miss my family.
worldwide	adv/adj	/ˌwɜːrldˈwaɪd/	khắp thế giới	The song is famous worldwide.
orchestra	n	/ˈɔːrkɪstrə/	dàn nhạc	The orchestra played beautiful music.
damage	n/v	/ˈdæmɪdʒ/	thiệt hại, tổn hại	The storm caused a lot of damage.
solution	n	/səˈluːʃən/	giải pháp	We need a solution to this problem.
physics	n	/ˈfɪzɪks/	môn vật lý	I study physics at school.
professor	n	/prəˈfesər/	giáo sư	The professor taught us today.
explain	v	/ɪkˈspleɪn/	giải thích	Can you explain this to me?
influence	n/v	/ˈɪnfluəns/	ảnh hưởng	Music has a big influence on me.
temperature	n	/ˈtempərətʃər/	nhiệt độ	The temperature is 20 degrees today.
create	v	/kriˈeɪt/	tạo ra	She created a beautiful painting.
follow	v	/ˈfɑːloʊ/	theo dõi, dõi theo	I follow her on social media.
survive	v	/sərˈvaɪv/	sống sót, sinh tồn	Plants need water to survive.
freezing	adj	/ˈfriːzɪŋ/	rất lạnh, đóng băng	It is freezing outside today.
continent	n	/ˈkɑːntɪnənt/	lục địa	Africa is a large continent.
science	n	/ˈsaɪəns/	khoa học	I love science class.
researcher	n	/rɪˈsɜːrtʃər/	nhà nghiên cứu	The researcher found new information.
latest	adj	/ˈleɪtɪst/	mới nhất	This is the latest news.
episode	n	/ˈepɪsoʊd/	tập phim	I watched the new episode last night.
firework display	n	/ˈfaɪərwɜːrk dɪˈspleɪ/	màn bắn pháo hoa	The firework display was beautiful.
wonder	v	/ˈwʌndər/	tự hỏi	I wonder what she is doing.
loud	adj	/laʊd/	to, ồn ào	The music is very loud.
especially	adv	/ɪˈspeʃəli/	đặc biệt là	I love fruit, especially apples.
possible	adj	/ˈpɑːsɪbəl/	có thể	Is it possible to come early?
fact	n	/fækt/	thực tế	That is an interesting fact.
actually	adv	/ˈæktʃuəli/	thực sự	I actually like that song.
event	n	/ɪˈvent/	sự kiện	The school has a big event today.
book tickets	phrase	/bʊk ˈtɪkɪts/	đặt vé	I booked tickets for the show.
organizer	n	/ˈɔːrɡənaɪzər/	người tổ chức	The organizer was very helpful.
limit	v/n	/ˈlɪmɪt/	hạn chế, giới hạn	There is a limit of 50 people.
attend	v	/əˈtend/	tham dự	I will attend the meeting tomorrow.
